Gender,Def,Nom,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
,,Rural,2.9,2,3.9,1528,0.7,0.2,1.3,1528,0.7,0.3,1.1,1528,2.2,1.4,3.1,1528,1.6,0.9,2.4,1528,1.4,0.8,2.1,1528
,Nationalité,Suisses,4.4,3.8,5.1,7193,0.7,0.5,1,7193,0.7,0.5,0.9,7193,3.1,2.6,3.6,7193,2.6,2.1,3.1,7193,2.5,2,2.9,7193
,,Étrangers,3,2,4,1534,0.7,0.2,1.1,1534,0.2,0,0.4,1534,2.2,1.4,3.1,1534,2.2,1.3,3.1,1534,1.7,0.9,2.4,1534
,Exercice d’une activité rémunérée,Personnes actives occupées,4.3,3.7,5,6648,0.7,0.4,1,6648,0.6,0.4,0.8,6648,3,2.5,3.5,6648,2.6,2,3.1,6648,2.4,1.9,2.9,6648
,,Personnes non actives occupées,3.3,2.4,4.2,2075,0.7,0.2,1.1,2075,0.6,0.3,1,2075,2.6,1.8,3.4,2075,2.3,1.5,3,2075,1.9,1.2,2.6,2075
Hommes,Niveau de formation,Scolarité obligatoire,4.5,2.9,6.1,1391,1.7,0.8,2.5,1391,1.3,0.4,2.1,1391,3.3,1.9,4.8,1391,2.9,1.6,4.2,1391,3.1,1.8,4.4,1392
Hommes,Niveau de formation,Degré secondaire II,8.8,7.6,10.1,3700,2,1.4,2.6,3700,1.7,1.2,2.2,3699,6.8,5.8,7.9,3699,5.2,4.2,6.2,3699,6.3,5.2,7.4,3699
Hommes,Niveau de formation,Degré tertiaire,7.2,6,8.4,2904,0.6,0.3,0.9,2904,0.9,0.5,1.3,2904,5,4,6,2904,3.1,2.3,3.8,2904,5.3,4.2,6.4,2903
Hommes,Région linguistique,Allemand/Rhéto-roman,7.6,6.6,8.5,5374,1.5,1.1,2,5374,1.1,0.7,1.5,5373,5.5,4.7,6.4,5373,3.9,3.2,4.6,5373,5.6,4.7,6.4,5373
Hommes,Région linguistique,Français,7.6,6.2,9,2086,1.4,0.8,1.9,2086,2,1.2,2.8,2086,5.9,4.6,7.1,2086,4.4,3.3,5.5,2086,5.2,4,6.4,2086
Hommes,Région linguistique,Italien,6.5,4,9,549,0.4,0,0.9,549,1.2,0.3,2.2,549,5.1,2.9,7.3,549,4.2,2.1,6.4,549,3.6,1.7,5.6,549
Hommes,Région d'habitation,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Hommes,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Hommes,,Urbain,8.6,7.5,9.6,4848,1.7,1.3,2.2,4848,1.6,1.1,2.1,4847,6.5,5.6,7.4,4847,4.7,3.9,5.4,4847,6.2,5.3,7.1,4847
,,Intermédiaire,6.3,4.7,7.9,1699,1.1,0.4,1.8,1699,1.2,0.6,1.7,1699,4.6,3.2,5.9,1699,3.2,2.2,4.2,1699,4.1,2.9,5.3,1699
,,Rural,5.3,3.6,7.1,1486,0.8,0.2,1.5,1486,0.7,0.2,1.1,1486,3.8,2.5,5.1,1486,2.9,1.4,4.5,1486,4.3,2.6,6,1486
,Nationalité,Suisses,7.8,6.9,8.7,6402,1.7,1.2,2.1,6402,1.3,1,1.7,6401,5.6,4.8,6.3,6401,4,3.4,4.7,6401,5.7,4.9,6.5,6401
,,Étrangers,6.7,5.2,8.2,1631,0.8,0.3,1.4,1631,1.3,0.6,2.1,1631,5.6,4.2,7,1631,3.9,2.7,5.2,1631,4.5,3.2,5.8,1631
,Exercice d’une activité rémunérée,Personnes actives occupées,7.3,6.5,8.2,6980,1.3,0.9,1.6,6980,1.2,0.9,1.6,6979,5.5,4.8,6.2,6979,4,3.4,4.6,6979,5.3,4.6,6.1,6979
,,Personnes non actives occupées,8.5,6.1,11,1049,2.6,1.2,4,1049,2,1,3.1,1049,6.3,4.1,8.5,1049,4.2,2.6,5.8,1049,5.8,3.8,7.7,1049
