Gender,Def,Nom,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
Total,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Total,Nationalité,Suisses,3.4,3,3.7,12776,0.6,0.4,0.8,12776,0.7,0.6,0.9,12783,2.2,1.9,2.5,12778,1.4,1.2,1.7,12778,2.2,1.9,2.5,12781
Total,,Étrangers,2.8,1.9,3.7,1873,0.2,0,0.4,1873,0.6,0.2,1.1,1875,2.2,1.4,3,1873,1.3,0.7,1.9,1875,1.4,0.8,2.1,1875
Total,Exercice d’une activité rémunérée,Personnes actives occupées,3.6,3.2,4,11596,0.5,0.4,0.7,11596,0.8,0.6,1,11604,2.5,2.1,2.8,11599,1.5,1.3,1.8,11598,2.3,1.9,2.6,11601
Total,,Personnes non actives occupées,1.9,1.3,2.5,3053,0.5,0.1,0.8,3053,0.5,0.2,0.8,3054,1.1,0.7,1.5,3052,0.8,0.4,1.2,3055,1.3,0.7,1.8,3055
Femmes,Niveau de formation,Scolarité obligatoire,1.2,0.6,1.9,1597,0.1,0,0.3,1597,0.4,0.1,0.7,1598,0.6,0.3,1,1597,0.5,0.2,0.9,1598,0.8,0.3,1.4,1598
Femmes,Niveau de formation,Degré secondaire II,2.6,2,3.1,5430,0.4,0.2,0.7,5430,0.4,0.2,0.6,5436,1.6,1.2,2,5434,1.1,0.7,1.5,5432,1.3,0.9,1.7,5434
Femmes,Niveau de formation,Degré tertiaire,2.1,1.2,3,910,0,0,0.1,910,0.2,0,0.4,911,1.3,0.7,2,909,0.3,0,0.6,910,1.2,0.5,1.8,911
Femmes,Région linguistique,Allemand/Rhéto-roman,2.2,1.7,2.7,5175,0.4,0.1,0.6,5175,0.3,0.2,0.5,5177,1.2,0.8,1.5,5176,1,0.6,1.3,5175,1.3,0.9,1.7,5177
Femmes,Région linguistique,Français,2.4,1.7,3.2,2185,0.1,0,0.3,2185,0.5,0.2,0.8,2190,1.9,1.2,2.5,2187,0.8,0.3,1.2,2188,1,0.5,1.4,2188
Femmes,Région linguistique,Italien,1,0.2,1.9,606,0.3,0,0.9,606,0.1,0,0.4,607,1,0.2,1.8,606,0.4,0,0.8,606,0.6,0.1,1.1,607
Femmes,Région d'habitation,Région urbaine,2.6,2.1,3.1,5312,0.4,0.2,0.6,5312,0.4,0.2,0.6,5318,1.6,1.2,2,5315,1.1,0.8,1.5,5315,1.4,1,1.8,5317
Femmes,,Région rurale,1.3,0.8,1.8,2654,0.1,0,0.2,2654,0.4,0.1,0.6,2656,0.7,0.3,1.1,2654,0.4,0.1,0.7,2654,0.7,0.3,1.1,2655
Femmes,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Femmes,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Femmes,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Femmes,Nationalité,Suisses,2.3,1.9,2.8,7024,0.4,0.1,0.6,7024,0.4,0.3,0.6,7030,1.4,1.1,1.8,7027,0.9,0.6,1.2,7025,1.4,1,1.7,7028
Femmes,,Étrangers,1.6,0.7,2.5,942,0,0,0.1,942,0.1,0,0.3,944,1,0.3,1.6,942,0.9,0.2,1.5,944,0.3,0.1,0.6,944
Femmes,Exercice d’une activité rémunérée,Personnes actives occupées,2.5,2,3,5747,0.2,0.1,0.4,5747,0.4,0.2,0.6,5754,1.6,1.2,2,5750,0.9,0.6,1.3,5748,1.3,0.9,1.6,5751
Femmes,,Personnes non actives occupées,1.5,0.8,2.2,2219,0.5,0,0.9,2219,0.3,0.1,0.5,2220,0.7,0.3,1.2,2219,0.7,0.3,1.2,2221,0.9,0.3,1.5,2221
Hommes,Niveau de formation,Scolarité obligatoire,3,1.7,4.3,926,0.6,0,1.2,926,1.5,0.4,2.5,926,2.4,1.1,3.6,926,1.8,0.6,2.9,926,2.4,1.2,3.7,926
Hommes,Niveau de formation,Degré secondaire II,4.7,3.9,5.4,4041,0.9,0.5,1.3,4041,1,0.6,1.4,4041,3,2.4,3.7,4040,2.2,1.6,2.7,4041,3.1,2.5,3.8,4041
Hommes,Niveau de formation,Degré tertiaire,4.7,3.5,5.9,1698,0.5,0.1,1,1698,0.9,0.3,1.5,1699,3.6,2.5,4.7,1698,1.4,0.8,2.1,1699,3.1,2.1,4.1,1699
Hommes,Région linguistique,Allemand/Rhéto-roman,4,3.3,4.7,4618,0.7,0.4,1.1,4618,1,0.6,1.4,4617,2.6,2,3.2,4617,1.7,1.3,2.2,4618,2.9,2.3,3.5,4617
Hommes,Région linguistique,Français,5.7,4.4,7,1608,0.9,0.4,1.4,1608,1.3,0.7,2,1610,4.7,3.6,5.9,1608,2.7,1.8,3.6,1609,3.6,2.6,4.6,1610
Hommes,Région linguistique,Italien,2.4,0.9,3.9,458,.,.,.,.,0.7,0,1.4,458,1.9,0.6,3.1,458,0.8,0,1.8,458,1.1,0.2,2,458
Hommes,Région d'habitation,Région urbaine,5,4.3,5.8,4300,0.9,0.5,1.2,4300,1.3,0.8,1.8,4301,3.5,2.9,4.2,4299,2.2,1.7,2.8,4301,3.4,2.8,4.1,4301
Hommes,,Région rurale,3,2.1,3.8,2384,0.5,0.2,0.8,2384,0.6,0.3,0.9,2384,2.1,1.4,2.8,2384,1.3,0.7,1.9,2384,2.1,1.4,2.8,2384
Hommes,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Hommes,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Nationalité,Suisses,4.5,3.8,5.1,5752,0.9,0.6,1.2,5752,1,0.7,1.4,5753,3,2.4,3.5,5751,2,1.5,2.4,5753,3.1,2.6,3.7,5753
,,Étrangers,3.8,2.4,5.3,931,0.3,0,0.7,931,1.1,0.2,2,931,3.4,2,4.8,931,1.7,0.7,2.7,931,2.5,1.2,3.7,931
,Exercice d’une activité rémunérée,Personnes actives occupées,4.5,3.9,5.2,5849,0.8,0.5,1.1,5849,1.1,0.7,1.4,5850,3.2,2.7,3.8,5849,2.1,1.6,2.5,5850,3.1,2.6,3.7,5850
,,Personnes non actives occupées,2.9,1.7,4.2,834,0.6,0,1.2,834,0.9,0.2,1.6,834,1.9,0.9,2.9,833,0.9,0.3,1.5,834,2.1,1,3.2,834
