Gender,Def,Nom,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
,,Étrangers,6.3,5.4,7.3,4289,1,0.6,1.4,4289,0.5,0.2,0.7,4289,4.9,4.1,5.7,4289,3.9,3.1,4.7,4289,2.8,2.1,3.4,4290
,Exercice d’une activité rémunérée,Personnes actives occupées,7.9,7.3,8.5,13666,1.5,1.2,1.7,13666,0.8,0.6,1,13666,6,5.5,6.5,13666,4.7,4.2,5.2,13664,4.8,4.3,5.3,13667
,,Personnes non actives occupées,6.1,5,7.1,3308,1.4,0.9,2,3308,1.1,0.7,1.6,3309,4.7,3.8,5.7,3309,3.5,2.7,4.4,3307,3.8,2.9,4.6,3309
Femmes,Niveau de formation,Scolarité obligatoire,2.4,1.6,3.2,1812,0.3,0,0.6,1812,0.2,0,0.4,1812,1.9,1.1,2.6,1812,1.5,0.8,2.2,1812,1.2,0.5,1.8,1812
Femmes,Niveau de formation,Degré secondaire II,4.3,3.5,5,4439,1,0.6,1.4,4439,0.3,0.1,0.6,4439,3.1,2.4,3.7,4439,2.4,1.8,2.9,4439,2.4,1.8,3,4439
Femmes,Niveau de formation,Degré tertiaire,8.4,7,9.7,2655,0.7,0.3,1.1,2655,0.6,0.2,1,2656,5.6,4.4,6.7,2656,4.7,3.6,5.7,2655,4.8,3.7,5.8,2655
Femmes,Région linguistique,Allemand/Rhéto-roman,5.3,4.5,6,5868,0.7,0.4,1,5868,0.4,0.2,0.6,5868,3.4,2.8,4,5868,3.1,2.6,3.7,5868,3.2,2.6,3.8,5868
Femmes,Région linguistique,Français,5.6,4.6,6.7,2472,1,0.5,1.5,2472,0.4,0.1,0.7,2473,4.5,3.6,5.5,2473,2.8,2,3.6,2472,2.7,1.9,3.4,2472
Femmes,Région linguistique,Italien,1.9,0.7,3.1,605,.,.,.,.,0.1,0,0.4,605,1.8,0.6,2.9,605,0.5,0,1,605,0.4,0,0.8,605
Femmes,Région d'habitation,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,Urbain,6,5.1,6.8,5244,0.7,0.4,1,5244,0.4,0.2,0.6,5245,4.1,3.4,4.8,5245,3.4,2.8,4.1,5244,3.4,2.7,4,5244
,,Intermédiaire,4.6,3.4,5.8,1950,1,0.4,1.5,1950,0.5,0,1,1950,3.3,2.3,4.3,1950,2.2,1.4,3,1950,2.6,1.7,3.4,1950
,,Rural,3.2,2.2,4.2,1751,0.7,0.2,1.2,1751,0.3,0,0.5,1751,2.3,1.4,3.2,1751,2,1.2,2.8,1751,1.8,1,2.5,1751
,Nationalité,Suisses,5.8,5,6.5,6839,0.9,0.6,1.2,6839,0.5,0.3,0.8,6840,3.9,3.3,4.6,6840,3.2,2.6,3.7,6839,3.4,2.9,4,6839
,,Étrangers,3.7,2.7,4.7,2105,0.3,0,0.6,2105,0,0,0.1,2105,2.8,1.9,3.6,2105,2.4,1.5,3.2,2105,1.6,0.8,2.3,2105
,Exercice d’une activité rémunérée,Personnes actives occupées,5.6,4.9,6.3,6816,0.7,0.5,1,6816,0.4,0.2,0.6,6816,3.8,3.3,4.4,6816,3.1,2.6,3.7,6816,3.1,2.6,3.6,6816
,,Personnes non actives occupées,3.9,2.8,5,2125,0.9,0.2,1.5,2125,0.4,0,0.7,2126,2.9,1.9,3.9,2126,2.3,1.4,3.1,2125,2.5,1.5,3.4,2125
Hommes,Niveau de formation,Scolarité obligatoire,6.4,4.8,8,1502,2.2,1.3,3.1,1502,1.1,0.5,1.7,1502,4.8,3.4,6.3,1502,4.3,3,5.7,1502,2.9,1.8,3.9,1503
Hommes,Niveau de formation,Degré secondaire II,10.9,9.6,12.2,3511,2.2,1.6,2.8,3511,1.6,1.1,2.2,3511,8.6,7.4,9.7,3511,6.7,5.6,7.8,3509,7.4,6.3,8.6,3511
Hommes,Niveau de formation,Degré tertiaire,10.3,8.9,11.7,3000,2.1,1.4,2.8,3000,1.2,0.7,1.6,3000,8.3,7,9.6,3000,6.1,4.9,7.2,2999,6.4,5.3,7.6,3001
Hommes,Région linguistique,Allemand/Rhéto-roman,9.3,8.3,10.3,5305,2.2,1.6,2.7,5305,1.2,0.8,1.6,5306,7.1,6.2,8,5306,5.9,5,6.8,5304,6.2,5.3,7.1,5306
Hommes,Région linguistique,Français,12.3,10.6,14,2145,2.4,1.6,3.1,2145,1.9,1.3,2.6,2144,10.2,8.7,11.8,2144,7.2,5.8,8.5,2143,7.1,5.8,8.5,2146
Hommes,Région linguistique,Italien,6.2,3.9,8.5,585,1.3,0.4,2.3,585,0.4,0,0.9,585,6.1,3.8,8.3,585,2.2,0.8,3.5,585,2.6,1.1,4.1,585
,Région d'habitation,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,Urbain,10.4,9.3,11.5,4702,2.5,1.9,3.1,4702,1.5,1.1,1.9,4701,8.3,7.3,9.3,4701,6.3,5.4,7.2,4699,6.2,5.4,7.1,4702
,,Intermédiaire,8.9,7.2,10.6,1846,1.7,0.9,2.5,1846,1.1,0.4,1.8,1847,6.8,5.3,8.4,1847,5.3,3.8,6.8,1846,6.2,4.6,7.8,1848
,,Rural,9.3,7.4,11.3,1487,1.5,0.7,2.3,1487,1.3,0.6,2.1,1487,7.2,5.4,8.9,1487,6.1,4.4,7.8,1487,6.4,4.7,8.1,1487
,Nationalité,Suisses,10.4,9.4,11.4,5851,2.4,1.9,2.9,5851,1.6,1.2,2,5851,8.3,7.4,9.2,5851,6.4,5.5,7.2,5848,7.3,6.4,8.1,5852
,,Étrangers,8.7,7.1,10.2,2184,1.5,0.9,2.2,2184,0.8,0.4,1.3,2184,6.7,5.4,8.1,2184,5.3,4,6.5,2184,3.9,2.8,4.9,2185
,Exercice d’une activité rémunérée,Personnes actives occupées,10,9.1,10.9,6850,2.1,1.7,2.6,6850,1.2,0.9,1.5,6850,7.9,7,8.7,6850,6.1,5.4,6.9,6848,6.3,5.6,7.1,6851
,,Personnes non actives occupées,9.5,7.4,11.5,1183,2.3,1.4,3.3,1183,2.3,1.3,3.3,1183,7.6,5.7,9.4,1183,5.6,3.9,7.3,1182,5.8,4.1,7.4,1184
